filename,group,ground_truth,best_ang,best_pangti,best_shabad_id,best_conf,best_time,windows_confident,windows_total,near_miss_correct,timed_out,elapsed_sec,notes
"babiha 1.mp3","babiha",,146,14,7ZG,17.9,00:00,0,2,false,false,20.1,"no confident matches"
"babiha 2.mp3","babiha",,1138,1,1YU,89.7,00:00,2,5,,false,45.7,"all confident windows on Ang 1138 (Rahao repeat / one Shabad)"
"babiha 3.mp3","babiha",,579,1,UMY,70.0,00:30,0,6,false,false,40.9,"no confident matches"
"babiha 4.mp3","babiha",,1033,1,3GV,72.0,00:05,0,5,false,false,126.1,"no confident matches"
"harjinder singh 1.mp3","harjinder singh",,260,6,BA4,73.9,00:24,0,2,false,false,28.9,"no confident matches"
"harjinder singh 2.mp3","harjinder singh",,372,1,12X,76.7,00:24,1,9,,false,69.9,"all confident windows on Ang 372 (Rahao repeat / one Shabad)"
"harjinder singh 3.mp3","harjinder singh",,626,19,ZT4,87.8,00:00,9,11,,false,280.2,"confident on 3 distinct Angs"
"harjinder singh 4.mp3","harjinder singh",,1133,10,YSX,76.2,00:23,4,9,,false,59.5,"all confident windows on Ang 1133 (Rahao repeat / one Shabad)"
"harjinder singh 5.mp3","harjinder singh",,626,18,ZT4,82.1,00:36,2,6,,false,232.8,"all confident windows on Ang 626 (Rahao repeat / one Shabad)"
"japji sahib 1.mp3","japji sahib",,2,7,ZF2,96.6,00:00,2,4,,false,145.3,"all confident windows on Ang 2 (Rahao repeat / one Shabad)"
"satnam singh 1.mp3","satnam singh",,615,13,4PH,74.1,00:10,0,12,false,false,59.1,"no confident matches"
"satnam singh 2.mp3","satnam singh",,1303,18,MB8,70.0,00:02,0,18,false,false,501.6,"no confident matches"
"waheguru 1.mp3","waheguru",,725,11,GUU,52.5,00:00,0,1,false,false,10.9,"no confident matches"
