filename,group,ground_truth,best_ang,best_pangti,best_shabad_id,best_conf,best_time,windows_confident,windows_total,near_miss_correct,timed_out,elapsed_sec,notes
"babiha 1.mp3","babiha",,488,12,NBX,40.0,00:00,0,1,false,false,141.1,"no confident matches"
"babiha 2.mp3","babiha",,1138,1,1YU,81.1,00:00,2,2,,false,13.7,"every window confident"
"babiha 3.mp3","babiha",,694,1,897,0.0,00:00,0,1,false,false,239.9,"no confident matches"
"babiha 4.mp3","babiha",,250,12,448,17.2,00:00,0,1,false,false,143.7,"no confident matches"
"harjinder singh 1.mp3","harjinder singh",,372,2,12X,78.6,00:00,1,2,,false,11.9,"all confident windows on Ang 372 (Rahao repeat / one Shabad)"
"harjinder singh 2.mp3","harjinder singh",,372,2,12X,74.5,00:25,0,4,true,false,15.8,"no confident matches"
"harjinder singh 3.mp3","harjinder singh",,626,19,ZT4,87.8,00:00,2,3,,false,22.9,"all confident windows on Ang 626 (Rahao repeat / one Shabad)"
"harjinder singh 4.mp3","harjinder singh",,626,18,ZT4,65.2,00:24,0,6,true,false,146.1,"no confident matches"
"harjinder singh 5.mp3","harjinder singh",,626,18,ZT4,91.1,00:31,4,5,,false,30.8,"all confident windows on Ang 626 (Rahao repeat / one Shabad)"
"japji sahib 1.mp3","japji sahib",,2,7,ZF2,71.8,00:01,0,3,false,false,9.6,"no confident matches"
"satnam singh 1.mp3","satnam singh",,1293,15,6JR,0.0,00:00,0,2,false,false,12.5,"no confident matches"
"satnam singh 2.mp3","satnam singh",,457,18,CYL,51.7,01:01,0,9,false,false,166.4,"no confident matches"
"waheguru 1.mp3","waheguru",,962,6,95K,67.9,00:00,0,1,false,false,126.1,"no confident matches"
