filename,ground_truth,best_ang,best_pangti,best_conf,best_time,windows_confident,windows_total,notes
"babiha 1.mp3",,929,13,16.7,00:05,0,3,"no confident matches"
"babiha 2.mp3",,1138,1,81.1,00:00,2,2,"every window confident"
"babiha 3.mp3",,481,1,38.7,00:31,0,3,"no confident matches"
"babiha 4.mp3",,1293,15,0.0,00:00,0,1,"no confident matches"
"harjinder singh 1.mp3",,372,2,78.6,00:00,1,2,"all confident windows hit single Ang 372 (likely Rahao repeat or one Shabad)"
"harjinder singh 2.mp3",,372,2,74.5,00:25,0,4,"no confident matches"
"harjinder singh 3.mp3",,626,19,87.8,00:00,2,3,"all confident windows hit single Ang 626 (likely Rahao repeat or one Shabad)"
"harjinder singh 4.mp3",,626,18,64.8,00:25,0,7,"no confident matches"
"harjinder singh 5.mp3",,626,18,91.1,00:31,4,5,"all confident windows hit single Ang 626 (likely Rahao repeat or one Shabad)"
"japji sahib 1.mp3",,2,7,71.8,00:01,0,3,"no confident matches"
"satnam singh 1.mp3",,1293,15,0.0,00:00,0,2,"no confident matches"
"satnam singh 2.mp3",,814,4,62.5,00:11,0,13,"no confident matches"
"waheguru 1.mp3",,978,1,0.0,00:00,0,1,"no confident matches"
